Prey/Predator,Phytoplankton,Detritus,Macroalgae,Mesozooplankton,Infaunal Zoobenthos,Intertidal Invertebrates,Macrozooplankton,Epibenthic Zoobenthos,Hatchery Salmon Fry,Wild Salmon Fry,Herring,Small Pelagics,Sea Otters,Demersal Fish,Salmon,Birds,Transient Mammals,Resident Mammals,Pinnipeds
Phytoplankton,0,0,0,0.8,0,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0,0
Detritus,0,0,0,0.2,0.7,0.31,0,0.121,0,0,0,0,0,0,0,0,0,0,0
Macroalgae,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0.002,0,0,0
Mesozooplankton,0,0,0,0,0.29,0.36,0.75,0.1,0.75,0.75,0.6,0.6,0,0.1,0,0,0.137,0,0
Infaunal Zoobenthos,0,0,0,0,0,0,0,0.5,0,0,0,0.101,0,0.13,0,0,0,0,0
Intertidal Invertebrates,0,0,0,0,0,0,0,0,0,0,0,0,1,0.025,0,0.216,0,0,0.07
Macrozooplankton,0,0,0,0,0,0,0,0,0.25,0.25,0.4,0.299,0,0.265,0.15,0.187,0.459,0.01,0
Epibenthic Zoobenthos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0
Hatchery Salmon Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
Wild Salmon Fry,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
Herring,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.067,0.296,0.051
Small Pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.85,0.459,0.138,0.487,0.362
Sea Otters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
Demersal Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0.193,0.15,0.5
Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.056,0.017
Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resident Mammals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0
Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0
