"Method","Organism","Biomass (g)","Respiration (cal/m2/day)","log10[Production (cal/m2/day)]","Production (cal/m2/day)","Production (J/m2/day)"
"Field","Invertebrate",0.000877080185074986,7.69761094776736e-05,-4.08314387383372,8.25764343606816e-05,0.000345499801365092
"Field","Invertebrate",0.00306796209576939,4.96262607454048e-05,-4.26959410109039,5.37533949921764e-05,0.000224904204647266
"Field","Invertebrate",0.00684752997369898,5.00758913858695e-06,-5.24376314237339,5.70475316042842e-06,2.38686872232325e-05
"Field","Invertebrate",0.0942828372638573,9.89058492916047e-06,-4.95467290695275,1.11001051556279e-05,4.64428399711471e-05
"Field","Fish",3.31414864985282,5.00445566947939e-06,-4.84973638999304,1.41339519324237e-05,5.9136454885261e-05
"Field","Fish",4.97977358131198,4.75157835589243e-06,-4.8685171952431,1.35357649676533e-05,5.66336406246614e-05
"Field","Fish",11.2798768733951,5.81655704176853e-07,-5.62926856310061,2.34818028200042e-06,9.82478629988978e-06
"Field","Fish",68.2068325005381,2.31974367184507e-08,-6.79622304111676,1.59873675266736e-07,6.68911457316025e-07
"Field","Fish",106.943920717216,1.11635256533767e-07,-6.22713365349303,5.92742880751483e-07,2.48003621306421e-06
"Model","Fish",0.990131739454675,1.5968814423446e-05,-4.42947058996321,3.71988411034008e-05,0.000155639951176629
"Model","Fish",1.20453487868337,1.59663130731756e-05,-4.42952732955611,3.7193981476307e-05,0.000155619618496868
"Model","Fish",0.97935427798573,1.27871269286638e-06,-5.34395133790848,4.52948329289495e-06,1.89513580974725e-05
"Model","Fish",1.46845826383539,4.40245896227817e-06,-4.89615810615378,1.27011163324267e-05,5.31414707348735e-05
"Model","Fish",1.786438234628,4.40176936243541e-06,-4.89621484574668,1.26994570686642e-05,5.3134528375291e-05
"Model","Fish",2.04547157620724,5.27110860265439e-06,-4.83093376182263,1.47593162378422e-05,6.1752979139132e-05
"Model","Fish",2.48871288530044,4.8782881960174e-06,-4.85898494363582,1.38361434605688e-05,5.78904242390201e-05
"Model","Fish",2.93743450397155,5.13555682283097e-06,-4.84036999258039,1.44420886805642e-05,6.04256990394806e-05
"Model","Fish",2.3446837985319,3.18913394938115e-06,-5.01293691751111,9.70650946772828e-06,4.06120356129751e-05
"Model","Fish",2.89579639339845,3.14778514456395e-06,-5.01766376205813,9.60143702900656e-06,4.01724125293635e-05
"Model","Fish",3.74177785121759,3.18794285591584e-06,-5.01307221961726,9.70348592800404e-06,4.05993851227689e-05
"Model","Fish",3.74090998883302,3.67323801354547e-06,-4.96174907554674,1.09207112549556e-05,4.56922558907342e-05
"Model","Fish",3.85771429097955,2.5609142803002e-06,-5.09239853507621,8.08353764052991e-06,3.38215214879772e-05
"Model","Fish",2.38160965769774,2.28145964728118e-06,-5.13425053171642,7.34090270896697e-06,3.07143369343178e-05
"Model","Fish",2.52966679701794,2.28134968219531e-06,-5.1342679900527,7.34060761571232e-06,3.07131022641403e-05
"Model","Fish",1.47134097437946,1.32866322714916e-06,-5.33007196056821,4.67657646178311e-06,1.95667959161005e-05
"Model","Fish",1.56343588138347,1.04015997143346e-06,-5.41873848593539,3.8129535447534e-06,1.59533976312482e-05
"Model","Fish",1.81786621876565,1.04003463813434e-06,-5.41878213177608,3.81257036880308e-06,1.59517944230721e-05
"Model","Fish",1.93055149602256,1.15287487266676e-06,-5.38147366715198,4.15457241156038e-06,1.73827309699686e-05
"Model","Fish",1.49485948370504,8.24928682728901e-07,-5.50270871884404,3.1426157384685e-06,1.31487042497522e-05
"Model","Fish",2.2801251947738,8.14095695721743e-07,-5.50749666756803,3.10815975220483e-06,1.3004540403225e-05
"Model","Fish",2.77380503896478,8.24521222257144e-07,-5.50288766679088,3.14132111278413e-06,1.31432875358888e-05
"Model","Fish",2.98936358010326,1.1524720658682e-06,-5.38160024008999,4.15336175879698e-06,1.73776655988066e-05
"Model","Fish",2.38935654491637,3.13814641932856e-07,-5.85277454870376,1.40354212337831e-06,5.87242024421485e-06
"Model","Fish",2.86324937196102,3.13769267046456e-07,-5.85282692371259,1.40337286933125e-06,5.87171208528195e-06
"Model","Fish",3.98093498621052,1.16714654161294e-06,-5.37701742681726,4.19742140773679e-06,1.75620111699707e-05
"Model","Fish",4.22921970944533,1.03933305069157e-06,-5.41902654848396,3.81042529497326e-06,1.59428194341681e-05
"Model","Fish",4.84388593116168,1.03922033971855e-06,-5.41906582974059,3.810080663551e-06,1.59413774962974e-05
