"Method","Organism","Biomass (g)","Respiration (g O2/g/day)","Respiration (mg O2/g/day)","Respiration (mg O2/m2/day)","Respiration (cal/m2/day)","Respiration (J/m2/day)"
"Field","Invertebrate",0.000877080185074986,0.855290105307485,0.000855290105307485,7.69761094776736e-05,7.69761094776736e-05,0.000322068042054587
"Field","Invertebrate",0.00306796209576939,0.551402897171164,0.000551402897171164,4.96262607454048e-05,4.96262607454048e-05,0.000207636274958773
"Field","Invertebrate",0.00684752997369898,0.0556398793176328,5.56398793176328e-05,5.00758913858695e-06,5.00758913858695e-06,2.09517529558478e-05
"Field","Invertebrate",0.0942828372638573,0.109895388101783,0.000109895388101783,9.89058492916047e-06,9.89058492916047e-06,4.13822073436074e-05
"Field","Fish",3.31414864985282,0.0493049819653142,4.93049819653142e-05,1.42984447699411e-05,5.00445566947939e-06,2.09386425211018e-05
"Field","Fish",4.97977358131198,0.0468135798610092,4.68135798610092e-05,1.35759381596927e-05,4.75157835589243e-06,1.98806038410539e-05
"Field","Fish",11.2798768733951,0.00573059807070791,5.73059807070791e-06,1.66187344050529e-06,5.81655704176853e-07,2.43364746627595e-06
"Field","Fish",68.2068325005381,0.000228546174566017,2.28546174566017e-07,6.62783906241449e-08,2.31974367184507e-08,9.70580752299978e-08
"Field","Fish",106.943920717216,0.00109985474417504,1.09985474417504e-06,3.18957875810762e-07,1.11635256533767e-07,4.67081913337279e-07
"Model","Fish",0.990131739454675,0.15732822092065,0.00015732822092065,4.56251840669885e-05,1.5968814423446e-05,6.6813519547698e-05
"Model","Fish",1.20453487868337,0.157303577075622,0.000157303577075622,4.56180373519304e-05,1.59663130731756e-05,6.68030538981668e-05
"Model","Fish",0.97935427798573,0.012598154609521,1.2598154609521e-05,3.65346483676109e-06,1.27871269286638e-06,5.35013390695294e-06
"Model","Fish",1.46845826383539,0.0433739799239229,4.33739799239229e-05,1.25784541779376e-05,4.40245896227817e-06,1.84198882981719e-05
"Model","Fish",1.786438234628,0.0433671858368021,4.33671858368021e-05,1.25764838926726e-05,4.40176936243541e-06,1.84170030124298e-05
"Model","Fish",2.04547157620724,0.0519321044596492,5.19321044596492e-05,1.50603102932983e-05,5.27110860265439e-06,2.2054318393506e-05
"Model","Fish",2.48871288530044,0.0480619526701222,4.80619526701222e-05,1.39379662743354e-05,4.8782881960174e-06,2.04107578121368e-05
"Model","Fish",2.93743450397155,0.0505966189441475,5.05966189441475e-05,1.46730194938028e-05,5.13555682283097e-06,2.14871697467248e-05
"Model","Fish",2.3446837985319,0.0314200389101591,3.14200389101591e-05,9.11181128394614e-06,3.18913394938115e-06,1.33433364442107e-05
"Model","Fish",2.89579639339845,0.0310126615227975,3.10126615227975e-05,8.99367184161127e-06,3.14778514456395e-06,1.31703330448556e-05
"Model","Fish",3.74177785121759,0.0314083039991708,3.14083039991708e-05,9.10840815975953e-06,3.18794285591584e-06,1.33383529091519e-05
"Model","Fish",3.74090998883302,0.0361895370792657,3.61895370792657e-05,1.04949657529871e-05,3.67323801354547e-06,1.53688278486742e-05
"Model","Fish",3.85771429097955,0.025230682564534,2.5230682564534e-05,7.31689794371486e-06,2.5609142803002e-06,1.0714865348776e-05
"Model","Fish",2.38160965769774,0.0224774349485831,2.24774349485831e-05,6.5184561350891e-06,2.28145964728118e-06,9.54562716422448e-06
"Model","Fish",2.52966679701794,0.0224763515487223,2.24763515487223e-05,6.51814194912947e-06,2.28134968219531e-06,9.54516707030519e-06
"Model","Fish",1.47134097437946,0.0130902780999917,1.30902780999917e-05,3.79618064899759e-06,1.32866322714916e-06,5.55912694239207e-06
"Model","Fish",1.56343588138347,0.0102478814919553,1.02478814919553e-05,2.97188563266704e-06,1.04015997143346e-06,4.35202932047761e-06
"Model","Fish",1.81786621876565,0.0102466466811265,1.02466466811265e-05,2.97152753752668e-06,1.04003463813434e-06,4.35150492595408e-06
"Model","Fish",1.93055149602256,0.0113583731297218,1.13583731297218e-05,3.29392820761932e-06,1.15287487266676e-06,4.82362846723773e-06
"Model","Fish",1.49485948370504,0.00812737618452119,8.12737618452119e-06,2.35693909351115e-06,8.24928682728901e-07,3.45150160853772e-06
"Model","Fish",2.2801251947738,0.00802064724849008,8.02064724849008e-06,2.32598770206212e-06,8.14095695721743e-07,3.40617639089977e-06
"Model","Fish",2.77380503896478,0.00812336179563689,8.12336179563689e-06,2.3557749207347e-06,8.24521222257144e-07,3.44979679392389e-06
"Model","Fish",2.98936358010326,0.0113544045898345,1.13544045898345e-05,3.292777331052e-06,1.1524720658682e-06,4.82194312359256e-06
"Model","Fish",2.38935654491637,0.00309176987125967,3.09176987125967e-06,8.96613262665304e-07,3.13814641932856e-07,1.31300046184707e-06
"Model","Fish",2.86324937196102,0.0030913228280439,3.0913228280439e-06,8.96483620132731e-07,3.13769267046456e-07,1.31281061332237e-06
"Model","Fish",3.98093498621052,0.0114989807055462,1.14989807055462e-05,3.3347044046084e-06,1.16714654161294e-06,4.88334113010854e-06
"Model","Fish",4.22921970944533,0.0102397344895721,1.02397344895721e-05,2.96952300197591e-06,1.03933305069157e-06,4.34856948409352e-06
"Model","Fish",4.84388593116168,0.010238624036636,1.0238624036636e-05,2.96920097062444e-06,1.03922033971855e-06,4.34809790138243e-06
"Model","Fish",6.64794570546078,0.0105031730793142,1.05031730793142e-05,3.04592019300112e-06,1.06607206755039e-06,4.46044553063084e-06
"Model","Fish",8.08902702137857,0.00935196284823289,9.35196284823289e-06,2.71206922598754e-06,9.49224229095638e-07,3.97155417453615e-06
"Model","Fish",9.69336350743276,0.00935061063519005,9.35061063519005e-06,2.71167708420511e-06,9.4908697947179e-07,3.97097992210997e-06
"Model","Fish",7.85039483881058,0.00822184169181107,8.22184169181107e-06,2.38433409062521e-06,8.34516931718824e-07,3.49161884231156e-06
"Model","Fish",5.64620225439006,0.00223897136356332,2.23897136356332e-06,6.49301695433363e-07,2.27255593401677e-07,9.50837402792616e-07
"Model","Fish",4.55375065745828,0.024904453739853,2.4904453739853e-05,7.22229158455737e-06,2.52780205459508e-06,1.05763237964258e-05
"Model","Fish",5.2947070119464,0.0252242986678928,2.52242986678928e-05,7.31504661368891e-06,2.56026631479112e-06,1.0712154261086e-05
"Model","Fish",5.13948463238912,0.0197485730735058,1.97485730735058e-05,5.72708619131668e-06,2.00448016696084e-06,8.38674501856415e-06
"Model","Fish",6.84425083664877,0.0200000324929079,2.00000324929079e-05,5.80000942294329e-06,2.03000329803015e-06,8.49353379895815e-06
"Model","Fish",7.49229768203018,0.0199985865246713,1.99985865246713e-05,5.79959009215468e-06,2.02985653225414e-06,8.49291973095131e-06
"Model","Fish",7.26667085929924,0.0258760526575834,2.58760526575834e-05,7.50405527069919e-06,2.62641934474471e-06,1.09889385384119e-05
"Model","Fish",4.90649445102774,0.0401092121599893,4.01092121599893e-05,1.16316715263969e-05,4.07108503423891e-06,1.70334197832556e-05
"Model","Fish",6.73387217992442,0.0411455675961819,4.11455675961819e-05,1.19322146028927e-05,4.17627511101246e-06,1.74735350644761e-05
"Model","Fish",9.81968814246113,0.0343455475195266,3.43455475195266e-05,9.96020878066271e-06,3.48607307323195e-06,1.45857297384025e-05
"Model","Fish",11.417964756132,0.0339018734204572,3.39018734204572e-05,9.83154329193259e-06,3.44104015217641e-06,1.43973119967061e-05
"Model","Fish",10.2827335133676,0.020515316790485,2.0515316790485e-05,5.94944186924065e-06,2.08230465423423e-06,8.71236267331601e-06
"Model","Fish",12.7028807396704,0.0173491256866367,1.73491256866367e-05,5.03124644912464e-06,1.76093625719362e-06,7.36775730009813e-06
"Model","Fish",10.4437928192035,0.0154523988764722,1.54523988764722e-05,4.48119567417694e-06,1.56841848596193e-06,6.56226294526471e-06
"Model","Fish",8.084422685798,0.0132419493242385,1.32419493242385e-05,3.84016530402916e-06,1.34405785641021e-06,5.62353807122031e-06
"Model","Fish",9.83481627867907,0.0134115292578824,1.34115292578824e-05,3.8893434847859e-06,1.36127021967506e-06,5.69555459912047e-06
"Model","Fish",12.7254022111295,0.00587958818544734,5.87958818544734e-06,1.70508057377973e-06,5.96778200822905e-07,2.49691999224303e-06
