,Acridi,AgaGut,Aphidi,ArcCinA,ArcCinJ,AtheriL,BaeSpp,BemDec,BemFas,BemPun,BemTes,BraMon,CeratoA,CeratoL,ChironL,ChironP,CicHyb,Clubio,CoccinA,ColeopA,ColeopL,Curcu1A,Curcu2A,DinFerr,DinMegA,DinMegL,Dipte1L,Dipte2L,DipterA,DruDis,Dysder,ElaterA,ElmidaA,ElmidaL,Entomo,EphDan,EphemeA,Formi1A,Formi1W,Formi2,GamSpp,GloSpp,GyriniA,HelSpp,HemiptA,HexSpp,Hirudi,Hydrom,Hydrac,HydropL,HydSppL,HydSppP,Hymeno,LabRip,LepidoA,LeuSpp,LioQua,MicMin,Mirida,NebPic,OchRos,Oligoc,OreSppA,OreSppL,PaeRub,ParWag,PerAer,PhiRuf,PirLat,Pisaur,ProSpp,RhaSpp,RhiSpp,RhyHir,RhyTriL,RhyTriP,ScoGra,SerIgn,SimuliL,TabaniL,ThiDil,Thomis,Thysan,TipSpp,TipuliA,TrichoA
S1/A1-P,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S1/A2-P,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0
S1/A3-P,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1/A4-P,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
S1/A5-P,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,9,0,5,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
S1/A6-P,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,1,0
S1/A7-P,0,0,2,0,0,0,0,9,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,31,2,3,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,1,0
S1/B1-P,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,9,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,10,0,5,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
S1/B2-P,0,0,0,0,0,0,0,2,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
S1/B3-P,0,0,2,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,2,0
