ID,Vial,Day,Type,Site,Transect,DistancePrimary,DistanceSecondary,DistanceClosest,Contents,Group,Trophic,Flight,Abundance,Biomass
S1/A2-P,A2-1.1,2,Pitfall,2,A,43,148,43,ColeopA,Misc,General,Moderate,1,0.5
S1/A2-P,A2-1.1,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1,2.8
S1/A2-P,A2-1.1,2,Pitfall,2,A,43,148,43,OchRos,Staphylinid,Predator,Weak,1,0.3
S1/A2-P,A2-1.1,2,Pitfall,2,A,43,148,43,Pisaur,Spider,Predator,None,1,0.2
S1/A2-P,A2-1.1,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,18,5.4
S1/A2-P,A2-1.2,2,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1,2.3
S1/A2-P,A2-1.2,2,Pitfall,2,A,43,148,43,ColeopA,Misc,General,Moderate,1,0.1
S1/A2-P,A2-1.2,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,1,0.5
S1/A2-P,A2-1.2,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,10,3.7
S1/A2-P,A2-1.3,2,Pitfall,2,A,43,148,43,OchRos,Staphylinid,Predator,Weak,1,0.1
S1/A2-P,A2-1.3,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,11,2.2
S1/A2-P,A2-1.4,2,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1,0.2
S1/A2-P,A2-1.4,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,2,0.1
S1/A2-P,A2-1.4,2,Pitfall,2,A,43,148,43,ParWag,Spider,Predator,None,1,1.1
S1/A2-P,A2-1.4,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,13,4.8
S1/A2-P,A2-1.5,2,Pitfall,2,A,43,148,43,BemTes,Carabid,Predator,Moderate,1,0.2
S1/A2-P,A2-1.5,2,Pitfall,2,A,43,148,43,HemiptA,Misc,General,Weak,1,0.1
S1/A2-P,A2-1.5,2,Pitfall,2,A,43,148,43,Mirida,Misc,Herbivore,Weak,1,1.8
S1/A2-P,A2-1.5,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,8,1.8
S1/A2-P,A2-2.1,2,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,1,2.5
S1/A2-P,A2-2.1,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,3,0.9
S1/A2-P,A2-2.1,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,6,1.9
S1/A2-P,A2-2.2,2,Pitfall,2,A,43,148,43,Dipte1L,Diptera,General,None,1,8.7
S1/A2-P,A2-2.2,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,4,0.7
S1/A2-P,A2-2.2,2,Pitfall,2,A,43,148,43,ElaterA,Misc,General,Moderate,1,0.1
S1/A2-P,A2-2.2,2,Pitfall,2,A,43,148,43,HemiptA,Misc,General,Weak,1,0.5
S1/A2-P,A2-2.2,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,15,3.9
S1/A2-P,A2-2.3,2,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,2,4.3
S1/A2-P,A2-2.3,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,2,0.7
S1/A2-P,A2-2.3,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,2,0.3
S1/A2-P,A2-2.4,2,Pitfall,2,A,43,148,43,BemPun,Carabid,Predator,Moderate,3,7.1
S1/A2-P,A2-2.4,2,Pitfall,2,A,43,148,43,Formi2,Ant,General,None,1,2.2
S1/A2-P,A2-2.4,2,Pitfall,2,A,43,148,43,HemiptA,Misc,General,Weak,1,0.1
S1/A2-P,A2-2.4,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,5,1.3
S1/A2-P,A2-2.5,2,Pitfall,2,A,43,148,43,CicHyb,Carabid,Predator,Moderate,1,27.5
S1/A2-P,A2-2.5,2,Pitfall,2,A,43,148,43,DipterA,Diptera,General,Strong,2,0.1
S1/A2-P,A2-2.5,2,Pitfall,2,A,43,148,43,Mirida,Misc,Herbivore,Weak,1,2.1
S1/A2-P,A2-2.5,2,Pitfall,2,A,43,148,43,ThiDil,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-1.1,2,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,6.7
S1/B2-P,B2-1.1,2,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,NebPic,Carabid,Predator,Moderate,1,55.9
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,1,2.9
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,ParWag,Spider,Predator,None,1,2.8
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,ParWag,Spider,Predator,None,1,6.6
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-1.2,2,Pitfall,2,B,35,107,35,TipuliA,Diptera,Herbivore,Strong,1,0.1
S1/B2-P,B2-1.3,2,Pitfall,2,B,35,107,35,BemTes,Carabid,Predator,Moderate,1,0.1
S1/B2-P,B2-1.3,2,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,1.6
S1/B2-P,B2-1.3,2,Pitfall,2,B,35,107,35,Mirida,Misc,Herbivore,Weak,1,1.4
S1/B2-P,B2-1.3,2,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1,0.7
S1/B2-P,B2-1.4,2,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,1,2.6
S1/B2-P,B2-1.4,2,Pitfall,2,B,35,107,35,Mirida,Misc,Herbivore,Weak,1,2.7
S1/B2-P,B2-1.4,2,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,6,1.5
S1/B2-P,B2-1.5,2,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,1,2
S1/B2-P,B2-1.5,2,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-2.1,2,Pitfall,2,B,35,107,35,PaeRub,Staphylinid,Predator,Weak,1,2.7
S1/B2-P,B2-2.1,2,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-2.2,2,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,3,8.2
S1/B2-P,B2-2.2,2,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,0.4
S1/B2-P,B2-2.3,2,Pitfall,2,B,35,107,35,BemDec,Carabid,Predator,Moderate,2,3.1
S1/B2-P,B2-2.3,2,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,5,17
S1/B2-P,B2-2.3,2,Pitfall,2,B,35,107,35,TipuliA,Diptera,Herbivore,Strong,1,0.1
S1/B2-P,B2-2.4,2,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,6,16.8
S1/B2-P,B2-2.4,2,Pitfall,2,B,35,107,35,Dipte1L,Diptera,General,None,1,23.8
S1/B2-P,B2-2.4,2,Pitfall,2,B,35,107,35,Dipte2L,Diptera,General,None,1,9.7
S1/B2-P,B2-2.4,2,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,1,0.1
S1/B2-P,B2-2.5,2,Pitfall,2,B,35,107,35,BemPun,Carabid,Predator,Moderate,1,2.7
S1/B2-P,B2-2.5,2,Pitfall,2,B,35,107,35,DipterA,Diptera,General,Strong,4,0.4
S1/B2-P,B2-2.5,2,Pitfall,2,B,35,107,35,ParWag,Spider,Predator,None,1,0.9
S1/B2-P,B2-2.5,2,Pitfall,2,B,35,107,35,PhiRuf,Staphylinid,Predator,Weak,1,0.1
S1/B2-P,B2-2.5,2,Pitfall,2,B,35,107,35,ThiDil,Staphylinid,Predator,Weak,1,0.1
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,ChironL,Aquatic,General,None,1,0.2
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,ElaterA,Misc,General,Moderate,1,3.9
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,GamSpp,Aquatic,Detritivore,None,484,439.1
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,LeuSpp,Aquatic,Detritivore,None,6,1
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,RhiSpp,Aquatic,Detritivore,None,1,2.5
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,SerIgn,Aquatic,Predator,None,1,2.8
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,SimuliL,Aquatic,Detritivore,None,1,1.8
S1/A2-A,A2-Sur,3,Aquatic,2,A,43,148,43,TipSpp,Aquatic,General,None,3,14.1
